plate	well	tile	cycle	channel
1	r03c04	61	2	5
1	r03c04	62	2	1
1	r03c04	62	2	2
1	r03c04	62	2	3
1	r03c04	62	2	4
1	r03c04	62	2	5
1	r03c04	63	2	1
1	r03c04	63	2	2
1	r03c04	63	2	3
1	r03c04	63	2	4
1	r03c04	63	2	5
1	r03c04	64	2	1
1	r03c04	64	2	2
1	r03c04	64	2	3
1	r03c04	64	2	4
1	r03c04	64	2	5
1	r03c04	1	3	1
1	r03c04	1	3	2
1	r03c04	1	3	3
1	r03c04	1	3	4
1	r03c04	1	3	5
1	r03c04	2	3	1
1	r03c04	2	3	2
1	r03c04	2	3	3
1	r03c04	2	3	4
1	r03c04	2	3	5
1	r03c04	3	3	1
1	r03c04	3	3	2
1	r03c04	3	3	3
1	r03c04	3	3	4
1	r03c04	3	3	5
1	r03c04	4	3	1
1	r03c04	4	3	2
1	r03c04	4	3	3
1	r03c04	4	3	4
1	r03c04	4	3	5
1	r03c04	6	3	1
1	r03c04	6	3	2
1	r03c04	6	3	3
1	r03c04	6	3	4
1	r03c04	6	3	5
1	r03c04	7	3	1
1	r03c04	7	3	2
1	r03c04	7	3	3
1	r03c04	7	3	4
1	r03c04	7	3	5
1	r03c04	8	3	1
1	r03c04	8	3	2
1	r03c04	8	3	3
1	r03c04	8	3	4
1	r03c04	8	3	5
1	r03c04	9	3	1
1	r03c04	9	3	2
1	r03c04	9	3	3
1	r03c04	9	3	4
1	r03c04	9	3	5
1	r03c04	10	3	1
1	r03c04	10	3	2
1	r03c04	10	3	3
1	r03c04	10	3	4
1	r03c04	10	3	5
1	r03c04	11	3	1
1	r03c04	11	3	2
1	r03c04	11	3	3
1	r03c04	11	3	4
1	r03c04	11	3	5
1	r03c04	12	3	1
1	r03c04	12	3	2
1	r03c04	12	3	3
1	r03c04	12	3	4
1	r03c04	12	3	5
1	r03c04	13	3	1
1	r03c04	13	3	2
1	r03c04	13	3	3
1	r03c04	13	3	4
1	r03c04	13	3	5
1	r03c04	14	3	1
1	r03c04	14	3	2
1	r03c04	14	3	3
1	r03c04	14	3	4
1	r03c04	14	3	5
1	r03c04	15	3	1
1	r03c04	15	3	2
1	r03c04	15	3	3
1	r03c04	15	3	4
1	r03c04	15	3	5
1	r03c04	16	3	1
1	r03c04	16	3	2
1	r03c04	16	3	3
1	r03c04	16	3	4
1	r03c04	16	3	5
1	r03c04	17	3	1
1	r03c04	17	3	2
1	r03c04	17	3	3
1	r03c04	17	3	4
1	r03c04	17	3	5
1	r03c04	18	3	1
1	r03c04	18	3	2
1	r03c04	18	3	3
1	r03c04	18	3	4
1	r03c04	18	3	5
1	r03c04	19	3	1
1	r03c04	19	3	2
1	r03c04	19	3	3
1	r03c04	19	3	4
1	r03c04	19	3	5
1	r03c04	20	3	1
1	r03c04	20	3	2
1	r03c04	20	3	3
1	r03c04	20	3	4
1	r03c04	20	3	5
1	r03c04	21	3	1
1	r03c04	21	3	2
1	r03c04	21	3	3
1	r03c04	21	3	4
1	r03c04	21	3	5
1	r03c04	22	3	1
1	r03c04	22	3	2
1	r03c04	22	3	3
1	r03c04	22	3	4
1	r03c04	22	3	5
1	r03c04	23	3	1
1	r03c04	23	3	2
1	r03c04	23	3	3
1	r03c04	23	3	4
1	r03c04	23	3	5
1	r03c04	24	3	1
1	r03c04	24	3	2
1	r03c04	24	3	3
1	r03c04	24	3	4
1	r03c04	24	3	5
1	r03c04	25	3	1
1	r03c04	25	3	2
1	r03c04	25	3	3
1	r03c04	25	3	4
1	r03c04	25	3	5
1	r03c04	26	3	1
1	r03c04	26	3	2
1	r03c04	26	3	3
1	r03c04	26	3	4
1	r03c04	26	3	5
1	r03c04	27	3	1
1	r03c04	27	3	2
1	r03c04	27	3	3
1	r03c04	27	3	4
1	r03c04	27	3	5
1	r03c04	28	3	1
1	r03c04	28	3	2
1	r03c04	28	3	3
1	r03c04	28	3	4
1	r03c04	28	3	5
1	r03c04	29	3	1
1	r03c04	29	3	2
1	r03c04	29	3	3
1	r03c04	29	3	4
1	r03c04	29	3	5
1	r03c04	30	3	1
1	r03c04	30	3	2
1	r03c04	30	3	3
1	r03c04	30	3	4
1	r03c04	30	3	5
1	r03c04	31	3	1
1	r03c04	31	3	2
1	r03c04	31	3	3
1	r03c04	31	3	4
1	r03c04	31	3	5
1	r03c04	32	3	1
1	r03c04	32	3	2
1	r03c04	32	3	3
1	r03c04	32	3	4
1	r03c04	32	3	5
1	r03c04	33	3	1
1	r03c04	33	3	2
1	r03c04	33	3	3
1	r03c04	33	3	4
1	r03c04	33	3	5
1	r03c04	34	3	1
1	r03c04	34	3	2
1	r03c04	34	3	3
1	r03c04	34	3	4
1	r03c04	34	3	5
1	r03c04	35	3	1
1	r03c04	35	3	2
1	r03c04	35	3	3
1	r03c04	35	3	4
1	r03c04	35	3	5
1	r03c04	36	3	1
1	r03c04	36	3	2
1	r03c04	36	3	3
1	r03c04	36	3	4
1	r03c04	36	3	5
1	r03c04	37	3	1
1	r03c04	37	3	2
1	r03c04	37	3	3
1	r03c04	37	3	4
1	r03c04	37	3	5
1	r03c04	38	3	1
1	r03c04	38	3	2
1	r03c04	38	3	3
1	r03c04	38	3	4
1	r03c04	38	3	5
1	r03c04	39	3	1
1	r03c04	39	3	2
1	r03c04	39	3	3
1	r03c04	39	3	4
1	r03c04	39	3	5
1	r03c04	40	3	1
1	r03c04	40	3	2
1	r03c04	40	3	3
1	r03c04	40	3	4
1	r03c04	40	3	5
1	r03c04	41	3	1
1	r03c04	41	3	2
1	r03c04	41	3	3
1	r03c04	41	3	4
1	r03c04	41	3	5
1	r03c04	42	3	1
1	r03c04	42	3	2
1	r03c04	42	3	3
1	r03c04	42	3	4
1	r03c04	42	3	5
1	r03c04	43	3	1
1	r03c04	43	3	2
1	r03c04	43	3	3
1	r03c04	43	3	4
1	r03c04	43	3	5
1	r03c04	44	3	1
1	r03c04	44	3	2
1	r03c04	44	3	3
1	r03c04	44	3	4
1	r03c04	44	3	5
1	r03c04	45	3	1
1	r03c04	45	3	2
1	r03c04	45	3	3
1	r03c04	45	3	4
1	r03c04	45	3	5
1	r03c04	46	3	1
1	r03c04	46	3	2
1	r03c04	46	3	3
1	r03c04	46	3	4
1	r03c04	46	3	5
1	r03c04	47	3	1
1	r03c04	47	3	2
1	r03c04	47	3	3
1	r03c04	47	3	4
1	r03c04	47	3	5
1	r03c04	48	3	1
1	r03c04	48	3	2
1	r03c04	48	3	3
1	r03c04	48	3	4
1	r03c04	48	3	5
1	r03c04	49	3	1
1	r03c04	49	3	2
1	r03c04	49	3	3
1	r03c04	49	3	4
1	r03c04	49	3	5
1	r03c04	50	3	1
1	r03c04	50	3	2
1	r03c04	50	3	3
1	r03c04	50	3	4
1	r03c04	50	3	5
1	r03c04	51	3	1
1	r03c04	51	3	2
1	r03c04	51	3	3
1	r03c04	51	3	4
1	r03c04	51	3	5
1	r03c04	52	3	1
1	r03c04	52	3	2
1	r03c04	52	3	3
1	r03c04	52	3	4
1	r03c04	52	3	5
1	r03c04	53	3	1
1	r03c04	53	3	2
1	r03c04	53	3	3
1	r03c04	53	3	4
1	r03c04	53	3	5
1	r03c04	54	3	1
1	r03c04	54	3	2
1	r03c04	54	3	3
1	r03c04	54	3	4
1	r03c04	54	3	5
1	r03c04	55	3	1
1	r03c04	55	3	2
1	r03c04	55	3	3
1	r03c04	55	3	4
1	r03c04	55	3	5
1	r03c04	56	3	1
1	r03c04	56	3	2
1	r03c04	56	3	3
1	r03c04	56	3	4
1	r03c04	56	3	5
1	r03c04	57	3	1
1	r03c04	57	3	2
1	r03c04	57	3	3
1	r03c04	57	3	4
1	r03c04	57	3	5
1	r03c04	58	3	1
1	r03c04	58	3	2
1	r03c04	58	3	3
1	r03c04	58	3	4
1	r03c04	58	3	5
1	r03c04	59	3	1
1	r03c04	59	3	2
1	r03c04	59	3	3
1	r03c04	59	3	4
1	r03c04	59	3	5
1	r03c04	60	3	1
1	r03c04	60	3	2
1	r03c04	60	3	3
1	r03c04	60	3	4
1	r03c04	60	3	5
1	r03c04	61	3	1
1	r03c04	61	3	2
1	r03c04	61	3	3
1	r03c04	61	3	4
1	r03c04	61	3	5
1	r03c04	62	3	1
1	r03c04	62	3	2
1	r03c04	62	3	3
1	r03c04	62	3	4
1	r03c04	62	3	5
1	r03c04	63	3	1
1	r03c04	63	3	2
1	r03c04	63	3	3
1	r03c04	63	3	4
1	r03c04	63	3	5
1	r03c04	64	3	1
1	r03c04	64	3	2
1	r03c04	64	3	3
1	r03c04	64	3	4
1	r03c04	64	3	5
1	r03c04	1	4	1
1	r03c04	1	4	2
1	r03c04	1	4	3
1	r03c04	1	4	4
1	r03c04	1	4	5
1	r03c04	2	4	1
1	r03c04	2	4	2
1	r03c04	2	4	3
1	r03c04	2	4	4
1	r03c04	2	4	5
1	r03c04	3	4	1
1	r03c04	3	4	2
1	r03c04	3	4	3
1	r03c04	3	4	4
1	r03c04	3	4	5
1	r03c04	4	4	1
1	r03c04	4	4	2
1	r03c04	4	4	3
1	r03c04	4	4	4
1	r03c04	4	4	5
1	r03c04	6	4	1
1	r03c04	6	4	2
1	r03c04	6	4	3
1	r03c04	6	4	4
1	r03c04	6	4	5
1	r03c04	7	4	1
1	r03c04	7	4	2
1	r03c04	7	4	3
1	r03c04	7	4	4
1	r03c04	7	4	5
1	r03c04	8	4	1
1	r03c04	8	4	2
1	r03c04	8	4	3
1	r03c04	8	4	4
1	r03c04	8	4	5
1	r03c04	9	4	1
1	r03c04	9	4	2
1	r03c04	9	4	3
1	r03c04	9	4	4
1	r03c04	9	4	5
1	r03c04	10	4	1
1	r03c04	10	4	2
1	r03c04	10	4	3
1	r03c04	10	4	4
1	r03c04	10	4	5
1	r03c04	11	4	1
1	r03c04	11	4	2
1	r03c04	11	4	3
1	r03c04	11	4	4
1	r03c04	11	4	5
1	r03c04	12	4	1
1	r03c04	12	4	2
1	r03c04	12	4	3
1	r03c04	12	4	4
1	r03c04	12	4	5
1	r03c04	13	4	1
1	r03c04	13	4	2
1	r03c04	13	4	3
1	r03c04	13	4	4
1	r03c04	13	4	5
1	r03c04	14	4	1
1	r03c04	14	4	2
1	r03c04	14	4	3
1	r03c04	14	4	4
1	r03c04	14	4	5
1	r03c04	15	4	1
1	r03c04	15	4	2
1	r03c04	15	4	3
1	r03c04	15	4	4
1	r03c04	15	4	5
1	r03c04	16	4	1
1	r03c04	16	4	2
1	r03c04	16	4	3
1	r03c04	16	4	4
1	r03c04	16	4	5
1	r03c04	17	4	1
1	r03c04	17	4	2
1	r03c04	17	4	3
1	r03c04	17	4	4
1	r03c04	17	4	5
1	r03c04	18	4	1
1	r03c04	18	4	2
1	r03c04	18	4	3
1	r03c04	18	4	4
1	r03c04	18	4	5
1	r03c04	19	4	1
1	r03c04	19	4	2
1	r03c04	19	4	3
1	r03c04	19	4	4
1	r03c04	19	4	5
1	r03c04	20	4	1
1	r03c04	20	4	2
1	r03c04	20	4	3
1	r03c04	20	4	4
1	r03c04	20	4	5
1	r03c04	21	4	1
1	r03c04	21	4	2
1	r03c04	21	4	3
1	r03c04	21	4	4
1	r03c04	21	4	5
1	r03c04	22	4	1
1	r03c04	22	4	2
1	r03c04	22	4	3
1	r03c04	22	4	4
1	r03c04	22	4	5
1	r03c04	23	4	1
1	r03c04	23	4	2
1	r03c04	23	4	3
1	r03c04	23	4	4
1	r03c04	23	4	5
1	r03c04	24	4	1
1	r03c04	24	4	2
1	r03c04	24	4	3
1	r03c04	24	4	4
1	r03c04	24	4	5
1	r03c04	25	4	1
1	r03c04	25	4	2
1	r03c04	25	4	3
1	r03c04	25	4	4
1	r03c04	25	4	5
1	r03c04	26	4	1
1	r03c04	26	4	2
1	r03c04	26	4	3
1	r03c04	26	4	4
1	r03c04	26	4	5
1	r03c04	27	4	1
1	r03c04	27	4	2
